1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,,,,,
108,AZ,Arizona,05,H0AZ05185,,Javier,Ramos,"Ramos, Javier",,D,"26,828",39.38%,,,,,,,,,,,,,,,,
109,AZ,Arizona,05,H0AZ05169,,Jon,Ireland,"Ireland, Jon",,D,"7,214",10.59%,,,,,,,,,,,,,,,,
110,AZ,Arizona,05,n/a,,,,,Party Votes:,D,"68,132",,,,,,,,,,,,,,,,,
111,AZ,Arizona,05,H0AZ05201,,Karen,Stephens,"Stephens, Karen",,W,,,,,72,0.02%,,,,,,,,,,,,
112,AZ,Arizona,05,n/a,,,,,District Votes:,,"173,566",,,,"445,657",,,,,,,,,,,,,
113,AZ,Arizona,06,H4AZ06045,(I),David  ,Schweikert,"Schweikert, David  ",,R,"94,526",100.00%,,,"217,783",52.17%,,,,,W,W,,,,,,
114,AZ,Arizona,06,n/a,,,,,Party Votes:,R,"94,526",,,,,,,,,,,,,,,,,
115,AZ,Arizona,06,H8AZ08083,,Hiral,Tipirneni,"Tipirneni, Hiral",,D,"42,566",53.17%,,,"199,644",47.83%,,,,,W,,,,,,,
116,AZ,Arizona,06,H8AZ06103,,Anita,Malik,"Malik, Anita",,D,"29,238",36.52%,,,,,,,,,,,,,,,,
117,AZ,Arizona,06,H0AZ06068,,Stephanie,Rimmer,"Rimmer, Stephanie",,D,"4,601",5.75%,,,,,,,,,,,,,,,,
118,AZ,Arizona,06,H0AZ06084,,Karl,Gentles,"Gentles, Karl",,D,"3,657",4.57%,,,,,,,,,,,,,,,,
119,AZ,Arizona,06,n/a,,,,,Party Votes:,D,"80,062",,,,,,,,,,,,,,,,,
120,AZ,Arizona,06,n/a,,,,,District Votes:,,"174,588",,,,"417,427",,,,,,,,,,,,,
121,AZ,Arizona,07,H4AZ07043,(I),Ruben,Gallego,"Gallego, Ruben",,D,"56,108",100.00%,,,"165,452",76.69%,,,,,W,W,,,,,,
122,AZ,Arizona,07,n/a,,,,,Party Votes:,D,"56,108",,,,,,,,,,,,,,,,,
123,AZ,Arizona,07,H0AZ07082,,Joshua,Barnett,"Barnett, Joshua",,R,"15,245",100.00%,,,"50,226",23.28%,,,,,W,,,,,,,
124,AZ,Arizona,07,n/a,,,,,Party Votes:,R,"15,245",,,,,,,,,,,,,,,,,
125,AZ,Arizona,07,H0AZ07116,,Roxanne,Rodriguez,"Rodriguez, Roxanne",,W,,,,,51,0.02%,,,,,,,,,,,,
126,AZ,Arizona,07,n/a,,J. Travis,Kirkham,"Kirkham, J. Travis",,W,,,,,3,0.00%,,,,,,,,,,,,
127,AZ,Arizona,07,n/a,,,,,District Votes:,,"71,353",,,,"215,732",,,,,,,,,,,,,
